Year,Tickets Sold,Total Box Office,"Total Inflation
Adjusted Box Office","Average
Ticket Price"
2026,"587,116,861","$6,640,291,703","$6,640,291,703",$11
2025,"770,631,071","$8,715,837,450","$8,715,837,450",$11
2024,"760,830,308","$8,604,990,784","$8,604,990,784",$11
2023,"819,032,718","$8,960,217,869","$9,263,260,036",$11
2022,"702,129,599","$7,393,424,695","$7,941,085,774",$11
2021,"444,031,934","$4,515,804,919","$5,022,001,175",$10
2020,"231,577,194","$2,125,878,647","$2,619,138,065",$9
2019,"1,229,721,892","$11,264,252,445","$13,908,154,605",$9
2018,"1,300,110,438","$11,844,006,251","$14,704,249,043",$9
2017,"1,230,826,450","$11,040,513,213","$13,920,647,149",$9
2016,"1,316,638,202","$11,388,920,488","$14,891,178,061",$9
2015,"1,332,772,937","$11,235,276,006","$15,073,661,923",$8
2014,"1,279,690,275","$10,455,069,577","$14,473,297,014",$8
2013,"1,345,458,705","$10,938,579,227","$15,217,137,966",$8
2012,"1,353,708,235","$10,775,517,557","$15,310,440,128",$8
2011,"1,284,597,417","$10,186,857,553","$14,528,796,788",$8
2010,"1,326,671,872","$10,466,444,350","$15,004,658,550",$8
2009,"1,418,477,842","$10,638,583,803","$16,042,976,066",$8
2008,"1,360,466,657","$9,768,150,605","$15,386,877,903",$7.18
2007,"1,406,380,234","$9,675,895,983","$15,906,160,448",$6.88
2006,"1,406,162,470","$9,210,364,090","$15,903,697,528",$6.55
2005,"1,377,063,148","$8,826,974,810","$15,574,584,192",$6.41
2004,"1,512,171,872","$9,390,587,614","$17,102,663,882",$6.21
2003,"1,528,593,882","$9,217,421,112","$17,288,396,815",$6.03
2002,"1,569,961,063","$9,121,473,816","$17,756,259,620",$5.81
2001,"1,437,343,101","$8,135,361,971","$16,256,350,474",$5.66
2000,"1,401,780,369","$7,555,596,197","$15,854,135,979",$5.39
1999,"1,452,366,387","$7,378,021,509","$16,426,263,832",$5.08
1998,"1,445,071,915","$6,777,387,340","$16,343,763,353",$4.69
1997,"1,349,765,352","$6,195,423,856","$15,265,846,145",$4.59
1996,"1,305,793,554","$5,771,608,313","$14,768,506,285",$4.42
1995,"1,221,788,544","$5,314,780,870","$13,818,428,426",$4.35
