Rank,Genre,Total Box Office,Tickets,Share
1,Adventure,"$67,875,767,407","9,264,094,411",24.80%
2,Action,"$63,592,962,007","8,284,420,685",23.24%
3,Drama,"$38,375,528,640","5,631,520,443",14.02%
4,Comedy,"$38,219,211,118","5,689,309,673",13.96%
5,Thriller/Suspense,"$20,217,637,177","2,880,345,124",7.39%
6,Horror,"$17,485,664,567","2,293,006,659",6.39%
7,Romantic Comedy,"$11,756,582,700","1,864,251,912",4.30%
8,Musical,"$7,904,391,668","915,455,863",2.89%
9,Black Comedy,"$3,008,982,613","428,097,049",1.10%
10,Documentary,"$2,409,023,655","350,983,625",0.88%
11,Western,"$1,748,653,856","252,679,635",0.64%
12,Concert/Performance,"$687,186,297","80,660,045",0.25%
13,Reality,"$202,548,219","28,511,247",0.07%
14,Multiple Genres,"$70,845,822","8,773,095",0.03%
15,Educational,"$749,338","66,260",0.00%
