Rank,Source,Total Box Office,Tickets,Share
1,Original Screenplay,"$127,874,143,165","18,295,667,520",46.72%
2,Based on Fiction Book/Short Story,"$54,733,887,456","7,981,050,840",20.00%
3,Based on Comic/Graphic Novel,"$28,361,176,803","3,455,814,000",10.36%
4,Based on Real Life Events,"$13,435,535,024","1,847,794,367",4.91%
5,Based on TV,"$12,603,104,017","1,816,785,460",4.61%
6,Based on Factual Book/Article,"$8,382,819,118","1,102,250,686",3.06%
7,Spin-Off,"$7,977,784,225","891,530,926",2.92%
8,Based on Folk Tale/Legend/Fairytale,"$4,803,771,871","590,038,875",1.76%
9,Based on Game,"$4,003,499,234","458,230,119",1.46%
10,Based on Play,"$2,559,365,204","411,535,920",0.94%
11,Based on Musical or Opera,"$2,350,233,723","277,130,301",0.86%
12,Based on Theme Park Ride,"$1,729,225,527","243,034,903",0.63%
13,Based on Toy,"$1,666,353,357","183,603,774",0.61%
14,Based on Short Film,"$1,315,097,745","172,122,641",0.48%
15,Based on Religious Text,"$1,279,728,395","182,785,384",0.47%
16,Based on Movie,"$148,425,808","15,918,626",0.05%
17,Compilation,"$136,101,035","19,844,096",0.05%
18,Based on Song,"$83,615,880","9,176,310",0.03%
19,Based on Musical Group,"$38,405,136","7,291,926",0.01%
20,Based on Web Series,"$15,043,721","1,633,174",0.01%
21,Based on Ballet,"$3,322,975","501,115",0.00%
22,Based on Poem,"$2,494,875","273,617",0.00%
23,Based on Radio,"$1,305,508","119,441",0.00%
