Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,directors,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Cleopatra,1963,5h 20m,Approved,7.0,39K,60.0,Queen Cleopatra VII of Egypt experiences both triumph and tragedy as she attempts to resist the imperial ambitions of Rome.,https://www.imdb.com/title/tt0056937/?ref_=sr_i_1,"['Joseph L. Mankiewicz', 'Ranald MacDougall', 'Sidney Buchman']","['Joseph L. Mankiewicz', 'Rouben Mamoulian']","['Elizabeth Taylor', 'Richard Burton', 'Rex Harrison', 'Pamela Brown', 'George Cole', 'Hume Cronyn', 'Cesare Danova', 'Kenneth Haigh', 'Andrew Keir', 'Martin Landau']","$44,000,000 (estimated)",,"$57,779,280","$57,777,778","July 31, 1963","['United States', 'Switzerland']","['Ischia Island, Naples, Campania, Italy']","['Twentieth Century Fox', 'MCL Films S.A.', 'Walwa Films S.A.']","Won 4 Oscars, 6 wins & 13 nominations total","['Desert Adventure', 'Docudrama', 'Historical Epic', 'Biography', 'Drama', 'History', 'Romance']",['English']
2. It's a Mad Mad Mad Mad World,1963,3h 30m,Approved,7.5,48K,59.0,"Several different motorists witness a single car crash in the California desert and, after the driver's dying words indicate the location of a hidden stash of loot, turn against each other in a mad dash across the state to get to it.",https://www.imdb.com/title/tt0057193/?ref_=sr_i_2,"['William Rose', 'Tania Rose']",['Stanley Kramer'],"['Spencer Tracy', 'Milton Berle', 'Ethel Merman', 'Mickey Rooney', 'Sid Caesar', 'Buddy Hackett', 'Dick Shawn', 'Phil Silvers', 'Terry-Thomas', 'Jonathan Winters']","$9,400,000 (estimated)",,"$46,333,064","$46,332,858","November 7, 1963",['United States'],"[""Portuguese Point, 5500 Palos Verdes Dr. S., Palos Verdes, California, USA (Santa Rosita Beach State Park - site of the 'Big W')""]",['Casey Productions'],"Won 1 Oscar, 3 wins & 10 nominations total","['Caper', 'Epic', 'Globetrotting Adventure', 'Road Trip', 'Screwball Comedy', 'Slapstick', 'Action', 'Adventure', 'Comedy', 'Crime']","['English', 'Chinese']"
3. From Russia with Love,1963,1h 55m,PG,7.3,150K,83.0,James Bond willingly falls into an assassination plot involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by the organization Spectre.,https://www.imdb.com/title/tt0057076/?ref_=sr_i_3,"['Richard Maibaum', 'Johanna Harwood', 'Ian Fleming']",['Terence Young'],"['Sean Connery', 'Robert Shaw', 'Lotte Lenya', 'Daniela Bianchi', 'Pedro Armendáriz', 'Bernard Lee', 'Eunice Gayson', 'Walter Gotell', 'Francis De Wolff', 'George Pastell']","$2,000,000 (estimated)",,"$24,811,445","$24,796,765","May 27, 1964","['United Kingdom', 'United States']","['Yerebatan Saray Sarniçi, Sultanahmet Square, Sultanahmet, Istanbul, Turkey (Basilica Cistern - James Bond and Kerim Bey escape with the Lektor decoding machine)']",['Eon Productions'],"Won 1 BAFTA Award, 3 wins & 6 nominations total","['Spy', 'Action', 'Adventure', 'Thriller']","['English', 'Russian', 'Turkish', 'French', 'Romany', 'Italian']"
4. The Sword in the Stone,1963,1h 19m,G,7.1,110K,61.0,"A poor boy named Arthur learns the power of love, kindness, knowledge and bravery with the help of a wizard called Merlin in the path to become one of the most beloved kings in English history.",https://www.imdb.com/title/tt0057546/?ref_=sr_i_4,"['Bill Peet', 'T.H. White']","['Wolfgang Reitherman', 'Clyde Geronimi', 'David Hand']","['Rickie Sorensen', 'Sebastian Cabot', 'Karl Swenson', 'Junius Matthews', 'Ginny Tyler', 'Martha Wentworth', 'Norman Alden', 'Alan Napier', 'Richard Reitherman', 'Robert Reitherman']","$3,000,000 (estimated)","$2,230,614","$12,000,000","$12,000,000","June 21, 1964",['United States'],,"['Walt Disney Animation Studios', 'Walt Disney Productions']","Nominated for 1 Oscar, 1 win & 1 nomination total","['Hand-Drawn Animation', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",['English']
5. The Pink Panther,1963,1h 55m,Approved,7.0,59K,55.0,"The bumbling Inspector Clouseau travels to Rome to catch a notorious jewel thief known as ""The Phantom"" before he conducts his most daring heist yet: a princess' priceless diamond with one slight imperfection, known as ""The Pink Panther"".",https://www.imdb.com/title/tt0057413/?ref_=sr_i_5,"['Maurice Richlin', 'Blake Edwards']",['Blake Edwards'],"['David Niven', 'Peter Sellers', 'Robert Wagner', 'Capucine', 'Brenda de Banzie', 'Colin Gordon', 'John Le Mesurier', 'James Lanphier', 'Guy Thomajan', 'Michael Trubshawe']","$3,000,000 (estimated)",,"$10,878,166","$10,878,107","March 18, 1964",['United States'],"['Rocca di Papa, Rome, Lazio, Italy (Piazza della Repubblica)']",['Mirisch G-E Productions'],"Nominated for 1 Oscar, 4 wins & 9 nominations total","['Caper', 'Farce', 'Slapstick', 'Comedy', 'Crime', 'Romance']","['English', 'Italian', 'Greek']"
6. Contempt,1963,1h 42m,Not Rated,7.4,37K,,"A French writer's marriage deteriorates while working on Fritz Lang's version of ""The Odyssey"", as his wife accuses him of using her to court favor with the film's brash American producer.",https://www.imdb.com/title/tt0057345/?ref_=sr_i_6,"['Alberto Moravia', 'Jean-Luc Godard']",['Jean-Luc Godard'],"['Brigitte Bardot', 'Jack Palance', 'Michel Piccoli', 'Giorgia Moll', 'Fritz Lang', 'Raoul Coutard', 'Jean-Luc Godard', 'Linda Veras']","$900,000 (estimated)","$14,826","$1,174,678","$1,151,804","December 18, 1964","['France', 'Italy']","['Isle of Capri, Naples, Campania, Italy']","['Rome Paris Films', 'Les Films Concordia', 'Compagnia Cinematografica Champion']","Awards, 1 win & 1 nomination total","['Drama', 'Romance']","['French', 'English', 'German', 'Italian']"
7. Bluff Master,1963,2h 15m,Not Rated,6.0,150,,An inveterate con man falls in love and realizes the error of his ways after his mother comes to know the truth about him.,https://www.imdb.com/title/tt0213524/?ref_=sr_i_7,"['Manmohan Desai', 'Madhusudan Kalelkar', 'Rajendra Krishan']",['Manmohan Desai'],"['Shammi Kapoor', 'Saira Banu', 'Niranjan Sharma', 'Mohan Choti', 'Tun Tun', 'Rashid Khan', 'Charlie Walker', 'Jugal Kishore', 'Shyamlal', 'Anand Joshi']",,"$160,385","$3,289,047","$722,847",,['India'],"['R.K. Studios, Chembur, Mumbai, Maharashtra, India (Studio)']",['Subhash Pictures'],,"['Comedy', 'Drama', 'Romance']",['Hindi']
8. 8½,1963,2h 18m,Not Rated,8.0,129K,93.0,A harried movie director retreats into his memories and fantasies.,https://www.imdb.com/title/tt0056801/?ref_=sr_i_8,"['Federico Fellini', 'Ennio Flaiano', 'Tullio Pinelli']",['Federico Fellini'],"['Marcello Mastroianni', 'Anouk Aimée', 'Claudia Cardinale', 'Sandra Milo', 'Rossella Falk', 'Barbara Steele', 'Madeleine Lebeau', 'Caterina Boratto', 'Eddra Gale', 'Guido Alberti']",,"$11,947","$200,502","$98,760","June 24, 1963","['Italy', 'France']","['Tivoli, Rome, Lazio, Italy (location)']","['Cineriz', 'Francinex']","Won 2 Oscars, 19 wins & 9 nominations total","['Epic', 'Psychological Drama', 'Showbiz Drama', 'Drama']","['Italian', 'French', 'English', 'German']"
9. Bay of Angels,1963,1h 30m,Not Rated,7.2,4.5K,76.0,"Jean is a clerk in a bank. His colleague Caron is a gambler and gives him the virus. In the casinos, Jean meets Jackie. Their love affair will follow their luck at the roulette.",https://www.imdb.com/title/tt0056846/?ref_=sr_i_9,['Jacques Demy'],['Jacques Demy'],"['Jeanne Moreau', 'Claude Mann', 'Paul Guers', 'Henri Nassiet', 'André Certes', 'Nicole Chollet', 'Georges Alban', 'Conchita Parodi', 'Jacques Moreau', 'André Canter']",,,"$85,840","$85,840","March 1, 1963","['France', 'Monaco']","['Hotel de Paris, Place du Casino, Monte Carlo, Monaco']",['Sud-Pacifique Films'],"Awards, 1 win total","['Drama', 'Romance']",['French']
10. The Boom,1963,1h 28m,,7.1,1.4K,,During the economic boom of Italy a man tries desperately to maintain a high standard of living for his family.,https://www.imdb.com/title/tt0056883/?ref_=sr_i_10,['Cesare Zavattini'],['Vittorio De Sica'],"['Alberto Sordi', 'Gianna Maria Canale', 'Elena Nicolai', 'Ettore Geri', 'Mariolina Bovo', 'Gloria Cervi', 'Sandra Verani', 'Sandro Merli', 'Antonio Mambretti', 'Alceo Barnabei']",,"$8,164","$57,962","$57,962","September 25, 1963",['Italy'],"['Rome, Lazio, Italy']",['Dino de Laurentiis Cinematografica'],,['Comedy'],['Italian']
