Title,Year,Duration,MPA,Rating,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,production_company,genres,seasons,filming_countries,continents,profit,roi,domestic_share,intl_gross_share
Snow White and the Seven Dwarfs,1937,1h 23m,Approved,7.6,1499000.0,6017914,184960747.0,184925486,1938-02-04,Walt Disney,Animation,Winter,USA,North America,183461747.0,12238.942428285523,99.98093595502185,0.019064044978148797
Pinocchio,1940,1h 28m,Approved,7.5,2600000.0,3769251,121892045.0,84254167,1940-02-23,Walt Disney,Animation,Winter,USA,North America,119292045.0,4588.155576923077,69.12195705634441,30.878042943655593
Fantasia,1940,2h 4m,G,7.7,2280000.0,980798,76411978.0,76408097,1941-09-19,Walt Disney,Animation,Fall,USA,North America,74131978.0,3251.402543859649,99.99492095336151,0.005079046638473355
Bambi,1942,1h 9m,Approved,7.3,858000.0,7216741,267447150.0,102247150,1942-08-21,Walt Disney,Animation,Summer,USA,North America,266589150.0,31070.996503496503,38.23078690500161,61.7692130949984
Casablanca,1942,1h 42m,PG,8.5,950000.0,181494,4727083.0,4219709,1943-01-23,Warner Bros.,Drama,Winter,USA,North America,3777083.0,397.58768421052633,89.26665768297278,10.733342317027224
Song of the South,1946,1h 34m,Approved,6.9,,4203111,37459346.0,37459346,1946-11-20,Walt Disney,Animation,Fall,USA,North America,,,100.0,0.0
The Treasure of the Sierra Madre,1948,2h 6m,Approved,8.2,3000000.0,144074,5014000.0,5014000,1948-01-24,Warner Bros.,Adventure,Winter,USA,North America,2014000.0,67.13333333333334,100.0,0.0
Cinderella,1950,1h 14m,G,7.3,2900000.0,1300000,96383330.0,93141149,1950-03-04,Walt Disney,Animation,Spring,FRA,Europe,93483330.0,3223.563103448276,96.63616000816738,3.363839991832612
Peter Pan,1953,1h 17m,G,7.3,4000000.0,957256,87405849.0,87404651,1953-02-05,Walt Disney,Animation,Winter,USA,North America,83405849.0,2085.146225,99.9986293823426,0.0013706176574064283
Dial M for Murder,1954,1h 45m,PG,8.2,1400000.0,12562,45313.0,24845,1954-05-29,Warner Bros.,Drama,Spring,USA,North America,-1354687.0,-96.76335714285715,54.82973980976762,45.17026019023238
Lady and the Tramp,1955,1h 16m,G,7.3,4000000.0,2804272,93934179.0,93602326,1955-06-22,Walt Disney,Animation,Summer,USA,North America,89934179.0,2248.354475,99.64671751695407,0.3532824830459209
Rebel Without a Cause,1955,1h 51m,PG-13,7.6,1500000.0,116668,217945.0,212780,1955-10-27,Warner Bros.,Drama,Fall,USA,North America,-1282055.0,-85.47033333333334,97.63013604349722,2.3698639565027877
Touch of Evil,1958,1h 35m,PG-13,7.9,829000.0,70725,2285063.0,2247465,1958-04-23,Universal Pictures,Drama,Spring,USA,North America,1456063.0,175.64089264173703,98.35461866915705,1.645381330842957
