Movie Title,Date Released,Genre,MPAA Rating,Inflation Adjusted Gross,release_year,release_month,release_quarter,release_dow,season,is_holiday_window,gross_millions,rank_gross_all_time,rank_gross_by_year,rank_gross_by_genre,cumulative_gross,cumulative_gross_m,share_of_total_gross,genre_total_gross,genre_share_of_total,mpaa_total_gross,mpaa_share_of_total
Snow White and the Seven Dwarfs,1937-12-21,Musical,G,5228953251,1937,12,Q4,Tuesday,Winter,1,5228.953251,1,1,1,5228953251,5228.953251,0.06362160871099475,10923681740,0.13291038798497726,26121840571,0.31782910266052206
Pinocchio,1940-02-09,Adventure,G,2188229052,1940,2,Q1,Friday,Winter,0,2188.229052,2,1,1,7417182303,7417.182303,0.026624573950771196,32409606385,0.3943334730539986,26121840571,0.31782910266052206
Fantasia,1940-11-13,Musical,G,2187090808,1940,11,Q4,Wednesday,Fall,1,2187.090808,3,2,2,9604273111,9604.273111,0.02661072473259894,10923681740,0.13291038798497726,26121840571,0.31782910266052206
Song of the South,1946-11-12,Adventure,G,1078510579,1946,11,Q4,Tuesday,Fall,1,1078.510579,10,1,4,10682783690,10682.78369,0.013122430963536335,32409606385,0.3943334730539986,26121840571,0.31782910266052206
Cinderella,1950-02-15,Drama,G,920608730,1950,2,Q1,Wednesday,Winter,0,920.60873,14,1,2,11603392420,11603.39242,0.01120121094691076,8195804484,0.09971981789149566,26121840571,0.31782910266052206
"20,000 Leagues Under the Sea",1954-12-23,Adventure,Unknown,528279994,1954,12,Q4,Thursday,Winter,1,528.279994,23,1,12,12131672414,12131.672414,0.006427677099940982,32409606385,0.3943334730539986,3258450260,0.03964614665589388
Lady and the Tramp,1955-06-22,Drama,G,1236035515,1955,6,Q2,Wednesday,Summer,0,1236.035515,9,1,1,13367707929,13367.707929,0.015039065012329917,8195804484,0.09971981789149566,26121840571,0.31782910266052206
Sleeping Beauty,1959-01-29,Drama,Unknown,21505832,1959,1,Q1,Thursday,Winter,0,21.505832,469,1,74,13389213761,13389.213761,0.00026166530141510144,8195804484,0.09971981789149566,3258450260,0.03964614665589388
101 Dalmatians,1961-01-25,Comedy,G,1362870985,1961,1,Q1,Wednesday,Winter,0,1362.870985,6,1,1,14752084746,14752.084746,0.01658229484355319,17899348281,0.21778456946384323,26121840571,0.31782910266052206
The Absent Minded Professor,1961-03-16,Comedy,Unknown,310094574,1961,3,Q1,Thursday,Spring,0,310.094574,57,2,9,15062179320,15062.17932,0.0037729761012220996,17899348281,0.21778456946384323,3258450260,0.03964614665589388
