Title,Year,Duration,MPA,Rating,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,seasons,release_month,filming_country,continents,profit,roi,domestic_share,intl_gross_share
Night of the Living Dead,1968,1h 36m,R,7.8,114000.0,5452,237994.0,236452,1968-10-04,Fall,10,USA,North America,123994.0,108.76666666666665,99.35208450633209,0.6479154936679077
Multiple Maniacs,1970,1h 31m,Not Rated,6.5,5000.0,9814,39025.0,33036,2022-01-01,Winter,1,USA,North America,34025.0,680.5,84.6534272901986,15.346572709801409
The Exorcist,1973,2h 2m,R,8.1,11000000.0,8175666,430872776.0,233005644,1973-12-26,Winter,12,IRQ,Asia,419872776.0,3817.0252363636364,54.07759714203898,45.922402857961025
Ganja & Hess,1973,1h 52m,R,6.2,,3406,21197.0,21197,1988-03-18,Spring,3,USA,North America,,,100.0,0.0
Jaws,1975,2h 4m,PG,8.1,7000000.0,7061513,477916625.0,267263625,1975-06-20,Summer,6,USA,North America,470916625.0,6727.380357142857,55.92264654948968,44.07735345051032
The Omen,1976,1h 51m,R,7.5,2800000.0,4273886,60922980.0,60922980,1976-06-25,Summer,6,GBR,Europe,58122980.0,2075.820714285714,100.0,0.0
King Kong,1976,2h 14m,PG,6.0,24000000.0,7023921,52614445.0,52614445,1976-12-17,Winter,12,USA,North America,28614445.0,119.22685416666667,100.0,0.0
Exorcist II: The Heretic,1977,1h 57m,R,3.8,14000000.0,6735000,30749142.0,30749142,1977-06-17,Summer,6,USA,North America,16749142.0,119.63672857142858,100.0,0.0
Jaws 2,1978,1h 56m,PG,5.8,20000000.0,9866023,187884007.0,81766007,1978-06-16,Summer,6,USA,North America,167884007.0,839.420035,43.51940769498279,56.48059230501721
Damien: Omen II,1978,1h 47m,R,6.2,6800000.0,3880880,26518355.0,26518355,1978-06-09,Summer,6,USA,North America,19718355.0,289.9758088235294,100.0,0.0
Invasion of the Body Snatchers,1978,1h 55m,PG,7.4,3500000.0,1298129,24949050.0,24946533,1978-12-22,Winter,12,USA,North America,21449050.0,612.83,99.98991143951373,0.01008856048627102
The Amityville Horror,1979,1h 57m,R,6.2,4700000.0,7843467,86432000.0,86432000,1979-07-27,Summer,7,USA,North America,81732000.0,1738.9787234042553,100.0,0.0
Alien,1979,1h 57m,R,8.5,11000000.0,3527881,108610231.0,84206106,1979-06-22,Summer,6,GBR,Europe,97610231.0,887.3657363636363,77.5305468229784,22.4694531770216
The Shining,1980,2h 26m,R,8.4,19000000.0,622337,47962534.0,45634352,1980-06-13,Summer,6,USA,North America,28962534.0,152.4343894736842,95.14583195291559,4.854168047084418
Friday the 13th,1980,1h 35m,R,6.4,550000.0,5816321,39917915.0,39754601,1980-05-09,Spring,5,USA,North America,39367915.0,7157.802727272727,99.590875425232,0.40912457476799574
The Fog,1980,1h 29m,R,6.8,1100000.0,39565,21448830.0,21448782,1980-02-08,Winter,2,USA,North America,20348830.0,1849.8936363636365,99.99977621156958,0.00022378843041788294
Altered States,1980,1h 42m,R,6.9,,174650,19853898.0,19853892,1980-12-25,Winter,12,MEX,North America,,,99.99996977923429,3.0220765715629244e-05
The Island,1980,1h 54m,R,5.3,22000000.0,3123267,15716828.0,15716828,1980-06-13,Summer,6,ATG,North America,-6283172.0,-28.55987272727273,100.0,0.0
Motel Hell,1980,1h 41m,R,6.0,3000000.0,1924776,6342668.0,6342668,1980-10-24,Fall,10,USA,North America,3342668.0,111.42226666666666,100.0,0.0
He Knows You're Alone,1980,1h 34m,R,5.0,250000.0,748824,4875436.0,4875436,1980-08-29,Summer,8,USA,North America,4625436.0,1850.1743999999999,100.0,0.0
An American Werewolf in London,1981,1h 37m,R,7.5,10000000.0,3786512,30820576.0,30565292,1981-08-21,Summer,8,GBR,Europe,20820576.0,208.20576000000003,99.17170918544805,0.828290814551941
Halloween II,1981,1h 32m,R,6.5,2500000.0,7446508,25533818.0,25533818,1981-10-30,Fall,10,USA,North America,23033818.0,921.35272,100.0,0.0
Ghost Story,1981,1h 50m,R,6.3,13500000.0,2105729,23371905.0,23371905,1981-12-18,Winter,12,USA,North America,9871905.0,73.12522222222222,100.0,0.0
Friday the 13th Part 2,1981,1h 27m,R,6.1,1250000.0,6429784,21722975.0,21722776,1981-05-01,Spring,5,USA,North America,20472975.0,1637.838,99.99908391921456,0.0009160807854356964
The Final Conflict,1981,1h 48m,R,5.5,5000000.0,5571675,20471382.0,20471382,1981-03-20,Spring,3,GBR,Europe,15471382.0,309.42764,100.0,0.0
Wolfen,1981,1h 55m,R,6.3,17000000.0,3037911,10626725.0,10626725,1981-07-24,Summer,7,USA,North America,-6373275.0,-37.48985294117647,100.0,0.0
The Funhouse,1981,1h 36m,R,5.9,,2765456,7886999.0,7886857,1981-03-13,Spring,3,USA,North America,,,99.9981995686826,0.0018004313174123643
Student Bodies,1981,1h 26m,R,5.4,,1582148,5165432.0,5165432,1981-08-07,Summer,8,USA,North America,,,100.0,0.0
The Hand,1981,1h 44m,R,5.5,6500000.0,566736,2447576.0,2447576,1981-04-24,Spring,4,USA,North America,-4052424.0,-62.34498461538461,100.0,0.0
Eyes of a Stranger,1981,1h 24m,R,6.0,800000.0,546724,1118634.0,1118634,1981-03-27,Spring,3,USA,North America,318634.0,39.82925,100.0,0.0
